,rxcui,rxaui,sab,tty,code,str,suppress
0,44,5481074,ATC,IN,R05CB05,mesna,N
1,44,5481075,ATC,IN,V03AF01,mesna,N
2,63,5481013,ATC,IN,C10AX05,meglutol,N
3,74,5478629,ATC,IN,D02BA01,aminobenzoic acid,N
4,94,5481555,ATC,IN,N06AX01,oxitriptan,N
5,99,5478631,ATC,IN,B02AA01,aminocaproic acid,N
6,103,5481064,ATC,IN,L01BB02,mercaptopurine,N
7,110,5481585,ATC,IN,A01AB07,oxyquinoline,N
8,110,5481586,ATC,IN,D08AH03,oxyquinoline,N
9,110,5481587,ATC,IN,G01AC30,oxyquinoline,N
10,110,5481588,ATC,IN,R02AA14,oxyquinoline,N
11,149,5478462,ATC,IN,C07AB04,acebutolol,N
12,150,5478464,ATC,IN,S01EB08,aceclidine,N
13,154,5478470,ATC,IN,B01AA07,acenocoumarol,N
14,155,5478471,ATC,IN,N05AA04,acepromazine,N
15,161,5481616,ATC,IN,N02BE01,paracetamol,N
16,167,5478475,ATC,IN,S01EC01,acetazolamide,N
17,168,5478476,ATC,IN,G01AD02,acetic acid,N
18,168,5478477,ATC,IN,S02AA10,acetic acid,N
19,173,5478478,ATC,IN,A10BB31,acetohexamide,N
20,184,5478482,ATC,IN,V08AA07,acetrizoic acid,N
21,193,5478483,ATC,IN,N06BX12,acetylcarnitine,N
22,194,5478484,ATC,IN,S01EB09,acetylcholine,N
23,197,5478485,ATC,IN,R05CB01,acetylcysteine,N
24,197,5478486,ATC,IN,S01XA08,acetylcysteine,N
25,197,5478487,ATC,IN,V03AB23,acetylcysteine,N
26,199,5478489,ATC,IN,C01AA02,acetyldigoxin,N
27,239,5478507,ATC,IN,L01DB04,aclarubicin,N
28,249,5480066,ATC,IN,D08AA03,euflavine,N
29,268,5477314,ATC,PT,L01DA,Actinomycines,N
30,270,5482327,ATC,IN,J01XX04,spectinomycin,N
31,272,5480989,ATC,IN,A07BA01,medicinal charcoal,N
32,281,5478501,ATC,IN,D06BB03,aciclovir,N
33,281,5478502,ATC,IN,J05AB01,aciclovir,N
34,281,5478503,ATC,IN,S01AD03,aciclovir,N
35,296,5478516,ATC,IN,C01EB10,adenosine,N
36,336,5477776,ATC,PT,L03,IMMUNOSTIMULANTS,N
37,336,5477777,ATC,PT,L03A,IMMUNOSTIMULANTS,N
38,371,5474400,ATC,RXN_PT,C07,beta-Adrenergic Blocking Agents,N
39,371,5477440,ATC,PT,C07,BETA BLOCKING AGENTS,N
40,371,5477441,ATC,PT,C07A,BETA BLOCKING AGENTS,N
41,376,5479522,ATC,IN,H01AA01,corticotropin,N
42,411,5480988,ATC,IN,V03AN05,medical air,N
43,423,5478528,ATC,IN,C01BA05,ajmaline,N
44,430,5478531,ATC,IN,P02CA03,albendazole,N
45,433,5478533,ATC,IN,B05AA01,albumin,N
46,435,5482182,ATC,IN,R03AC02,salbutamol,N
47,435,5482183,ATC,IN,R03CC02,salbutamol,N
48,437,5478537,ATC,IN,M01AB06,alclofenac,N
49,448,5480013,ATC,IN,D08AX08,ethanol,N
50,448,5480014,ATC,IN,V03AB16,ethanol,N
51,448,5480015,ATC,IN,V03AZ01,ethanol,N
52,460,5478540,ATC,IN,M03AA01,alcuronium,N
53,475,5477323,ATC,PT,C03DA,Aldosterone antagonists,N
54,480,5478553,ATC,IN,N01AH02,alfentanil,N
55,504,5477202,ATC,PT,L01A,ALKYLATING AGENTS,N
56,510,5477207,ATC,PT,V01,ALLERGENS,N
57,510,5477208,ATC,PT,V01A,ALLERGENS,N
58,516,5478569,ATC,IN,N05CA21,allobarbital,N
59,519,5478570,ATC,IN,M04AA01,allopurinol,N
60,525,5478572,ATC,IN,G03DC01,allylestrenol,N
61,528,5478576,ATC,IN,R07AB07,almitrine,N
62,535,5478550,ATC,IN,B02AB02,alfa1 antitrypsin,N
63,541,5480636,ATC,IN,L03AB01,interferon alfa natural,N
64,569,5479890,ATC,IN,D11AX16,eflornithine,N
65,569,5479891,ATC,IN,P01CX03,eflornithine,N
66,596,5478583,ATC,IN,N05BA12,alprazolam,N
67,597,5478584,ATC,IN,C07AA01,alprenolol,N
68,598,5478585,ATC,IN,C01EA01,alprostadil,N
69,598,5478586,ATC,IN,G04BE01,alprostadil,N
70,612,5478601,ATC,IN,A02AB01,aluminium hydroxide,N
71,613,5478556,ATC,IN,A02AB02,algeldrate,N
72,615,5478603,ATC,IN,D10AX04,aluminium oxide,N
73,620,5478609,ATC,IN,N04BB01,amantadine,N
74,623,5478611,ATC,IN,N07AA30,ambenonium,N
75,625,5478613,ATC,IN,R05CB06,ambroxol,N
76,626,5480979,ATC,IN,J01CA11,mecillinam,N
77,627,5481821,ATC,IN,J01CA08,pivmecillinam,N
78,632,5481243,ATC,IN,L01DC03,mitomycin,N
79,641,5478621,ATC,IN,D06AX12,amikacin,N
80,641,5478622,ATC,IN,J01GB06,amikacin,N
81,641,5478623,ATC,IN,S01AA21,amikacin,N
82,644,5478624,ATC,IN,C03DB01,amiloride,N
83,645,5478628,ATC,IN,D08AA02,aminoacridine,N
84,677,5478632,ATC,IN,L02BG01,aminoglutethimide,N
85,683,5478634,ATC,IN,L01XD04,aminolevulinic acid,N
86,689,5478639,ATC,IN,R03DA05,aminophylline,N
87,695,5478636,ATC,IN,N02BB03,aminophenazone,N
88,703,5478642,ATC,IN,C01BD01,amiodarone,N
89,704,5478644,ATC,IN,N06AA09,amitriptyline,N
90,712,5478649,ATC,IN,B05XA04,ammonium chloride,N
91,712,5478650,ATC,IN,G04BA01,ammonium chloride,N
92,719,5478651,ATC,IN,N05CA02,amobarbital,N
93,720,5478652,ATC,IN,P01BA06,amodiaquine,N
94,722,5478654,ATC,IN,N06AA17,amoxapine,N
95,723,5478655,ATC,IN,J01CA04,amoxicillin,N
96,725,5478618,ATC,IN,N06BA01,amfetamine,N
97,732,5478657,ATC,IN,A01AB04,amphotericin B,N
98,732,5478658,ATC,IN,A07AA07,amphotericin B,N
99,732,5478659,ATC,IN,G01AA03,amphotericin B,N
100,732,5478660,ATC,IN,J02AA01,amphotericin B,N
101,733,5478661,ATC,IN,J01CA01,ampicillin,N
102,733,5478662,ATC,IN,S01AA19,ampicillin,N
103,738,5478666,ATC,IN,C01CE01,amrinone,N
104,739,5478668,ATC,IN,L01XX01,amsacrine,N
105,742,5478669,ATC,IN,V03AB22,amyl nitrite,N
106,743,5479685,ATC,IN,A09AA01,diastase,N
107,760,5477213,ATC,PT,N02,ANALGESICS,N
108,761,5477925,ATC,PT,N02A,OPIOIDS,N
109,761,5484968,ATC,RXN_PT,N02A,OPIOID ANALGESICS,N
110,772,5478674,ATC,IN,B01AD09,ancrod,N
111,777,5477214,ATC,PT,G03B,ANDROGENS,N
112,817,5477216,ATC,PT,N01,ANESTHETICS,N
113,819,5475828,ATC,RXN_PT,N01B,LOCAL ANESTHETICS,N
114,819,5477218,ATC,PT,N01B,"ANESTHETICS, LOCAL",N
115,820,5478678,ATC,IN,A16AX02,anethole trithione,N
116,830,5478679,ATC,IN,C01CX06,angiotensinamide,N
117,863,5477221,ATC,PT,A02A,ANTACIDS,N
118,865,5478685,ATC,IN,R01AC04,antazoline,N
119,865,5478686,ATC,IN,R06AX05,antazoline,N
120,868,5477223,ATC,PT,P02,ANTHELMINTICS,N
121,873,5479824,ATC,IN,D05AC01,dithranol,N
122,897,5477209,ATC,PT,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,N
123,901,5474377,ATC,RXN_PT,J04AB,"Antibiotics, Antitubercular",N
124,901,5477386,ATC,PT,J04AB,Antibiotics,N
125,927,5477243,ATC,PT,N06A,ANTIDEPRESSANTS,N
126,930,5477397,ATC,PT,V03AB,Antidotes,N
127,932,5477248,ATC,PT,N03,ANTIEPILEPTICS,N
128,932,5477249,ATC,PT,N03A,ANTIEPILEPTICS,N
129,934,5477250,ATC,PT,B02A,ANTIFIBRINOLYTICS,N
130,968,5477260,ATC,PT,C02,ANTIHYPERTENSIVES,N
131,975,5477274,ATC,PT,P01B,ANTIMALARIALS,N
132,976,5477275,ATC,PT,L01B,ANTIMETABOLITES,N
133,987,5477280,ATC,PT,P02C,ANTINEMATODAL AGENTS,N
134,988,5477281,ATC,PT,L01,ANTINEOPLASTIC AGENTS,N
135,995,5477229,ATC,PT,N04,ANTI-PARKINSON DRUGS,N
136,998,5477287,ATC,PT,P01,ANTIPROTOZOALS,N
137,1001,5481709,ATC,IN,N02BB01,phenazone,N
138,1001,5481710,ATC,IN,S02DA03,phenazone,N
139,1009,5478694,ATC,IN,B01AB02,antithrombin III,N
140,1029,5478764,ATC,IN,M01AX04,azapropazone,N
141,1043,5478697,ATC,IN,G04BE07,apomorphine,N
142,1043,5478698,ATC,IN,N04BC07,apomorphine,N
143,1054,5478701,ATC,IN,C01BB04,aprindine,N
144,1056,5478704,ATC,IN,B02AB01,aprotinin,N
145,1098,9716375,ATC,IN,H01BA01,vasopressin (argipressin),N
146,1151,5478728,ATC,IN,G01AD03,ascorbic acid,N
147,1151,5478729,ATC,IN,S01XA15,ascorbic acid,N
148,1151,5478730,ATC,IN,A11GA01,ascorbic acid (vit C),N
149,1151,5483205,ATC,RXN_IN,A11GA01,ascorbic acid,N
150,1156,5478733,ATC,IN,L01XX02,asparaginase,N
151,1191,5478494,ATC,IN,A01AD05,acetylsalicylic acid,N
152,1191,5478495,ATC,IN,B01AC06,acetylsalicylic acid,N
153,1191,5478496,ATC,IN,N02BA01,acetylsalicylic acid,N
154,1202,5478737,ATC,IN,C07AB03,atenolol,N
155,1218,5478749,ATC,IN,M03AC04,atracurium,N
156,1223,5478750,ATC,IN,A03BA01,atropine,N
157,1223,5478751,ATC,IN,S01FA01,atropine,N
158,1227,5478755,ATC,IN,M01CB03,auranofin,N
159,1251,5478760,ATC,IN,L01BC07,azacitidine,N
