ATC code,ATC level name
A01AA01,sodium fluoride
A01AA02,sodium monofluorophosphate
A01AA03,olaflur
A01AA04,stannous fluoride
A01AA30,combinations
A01AA51,"sodium fluoride, combinations"
A01AB02,hydrogen peroxide
A01AB03,chlorhexidine
A01AB04,amphotericin B
A01AB05,polynoxylin
A01AB06,domiphen
A01AB07,oxyquinoline
A01AB08,neomycin
A01AB09,miconazole
A01AB10,natamycin
A01AB11,various
A01AB12,hexetidine
A01AB13,tetracycline
A01AB14,benzoxonium chloride
A01AB15,tibezonium iodide
A01AB16,mepartricin
A01AB17,metronidazole
A01AB18,clotrimazole
A01AB19,sodium perborate
A01AB21,chlortetracycline
A01AB22,doxycycline
A01AB23,minocycline
A01AC01,triamcinolone
A01AC02,dexamethasone
A01AC03,hydrocortisone
A01AC54,"prednisolone, combinations"
A01AD01,epinephrine
A01AD02,benzydamine
A01AD05,acetylsalicylic acid
A01AD06,adrenalone
A01AD07,amlexanox
A01AD08,becaplermin
A01AD11,various
A02AA01,magnesium carbonate
A02AA02,magnesium oxide
A02AA03,magnesium peroxide
A02AA04,magnesium hydroxide
A02AA05,magnesium silicate
A02AA10,combinations
A02AB01,aluminium hydroxide
A02AB02,algeldrate
A02AB03,aluminium phosphate
A02AB04,dihydroxialumini sodium carbonate
A02AB05,aluminium acetoacetate
A02AB06,aloglutamol
A02AB07,aluminium glycinate
A02AB10,combinations
A02AC01,calcium carbonate
A02AC02,calcium silicate
A02AC10,combinations
A02AD01,ordinary salt combinations
A02AD02,magaldrate
A02AD03,almagate
A02AD04,hydrotalcite
A02AD05,almasilate
A02AF01,magaldrate and antiflatulents
A02AF02,ordinary salt combinations and antiflatulents
A02BA01,cimetidine
A02BA02,ranitidine
A02BA03,famotidine
A02BA04,nizatidine
A02BA05,niperotidine
A02BA06,roxatidine
A02BA07,ranitidine bismuth citrate
A02BA08,lafutidine
A02BA51,"cimetidine, combinations"
A02BA53,"famotidine, combinations"
A02BB01,misoprostol
A02BB02,enprostil
A02BC01,omeprazole
A02BC02,pantoprazole
A02BC03,lansoprazole
A02BC04,rabeprazole
A02BC05,esomeprazole
A02BC06,dexlansoprazole
A02BC07,dexrabeprazole
A02BC53,"lansoprazole, combinations"
A02BC54,"rabeprazole, combinations"
A02BD01,"omeprazole, amoxicillin and metronidazole"
A02BD02,"lansoprazole, tetracycline and metronidazole"
A02BD03,"lansoprazole, amoxicillin and metronidazole"
A02BD04,"pantoprazole, amoxicillin and clarithromycin"
A02BD05,"omeprazole, amoxicillin and clarithromycin"
A02BD06,"esomeprazole, amoxicillin and clarithromycin"
A02BD07,"lansoprazole, amoxicillin and clarithromycin"
A02BD08,"bismuth subcitrate, tetracycline and metronidazole"
A02BD09,"lansoprazole, clarithromycin and tinidazole"
A02BD10,"lansoprazole, amoxicillin and levofloxacin"
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole"
A02BX01,carbenoxolone
A02BX02,sucralfate
A02BX03,pirenzepine
A02BX04,methiosulfonium chloride
A02BX05,bismuth subcitrate
A02BX06,proglumide
A02BX07,gefarnate
A02BX08,sulglicotide
A02BX09,acetoxolone
A02BX10,zolimidine
A02BX11,troxipide
A02BX12,bismuth subnitrate
A02BX13,alginic acid
A02BX14,rebamipide
A02BX51,"carbenoxolone, combinations excl. psycholeptics"
