ATC level name,rxcui,rxaui,sab,tty,ATC code,suppress,mapped_to_bnf,combination
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,1,1,1,1,1,1,1,1
2-(4-chlorphenoxy)-ethanol,1,1,1,1,1,1,1,1
2-amino-1-phenylethanol derivatives,1,1,1,1,1,1,1,0
3-oxoandrosten (4) derivatives,1,1,1,1,1,1,1,0
4-aminosalicylic acid,1,1,1,1,1,1,1,1
4-dimethylaminophenol,1,1,1,1,1,1,1,1
5-androstanon (3) derivatives,1,1,1,1,1,1,1,0
"ACE INHIBITORS, COMBINATIONS",1,1,1,1,1,1,1,0
"ACE INHIBITORS, PLAIN",1,1,1,1,1,1,1,0
ACE inhibitors and calcium channel blockers,1,1,1,1,1,1,1,0
ACE inhibitors and diuretics,1,1,1,1,1,1,1,0
"ACE inhibitors, other combinations",1,1,1,1,1,1,1,0
"ACE inhibitors, other combinations in ATC",1,1,1,1,1,1,1,0
"ACE inhibitors, plain",1,1,1,1,1,1,1,0
ACTH,1,1,1,1,1,1,1,0
ACTH and synthetic analog preparations,1,1,1,1,1,1,1,0
ADRENERGICS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
"ADRENERGICS, INHALANTS",1,1,1,1,1,1,1,0
AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,1,1,1,1,1,1,1,0
AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,1,1,1,1,1,1,1,0
AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,1,1,1,1,1,1,1,0
AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,1,1,1,1,1,1,1,0
ALIMENTARY TRACT AND METABOLISM,1,1,1,1,1,1,1,0
ALIMENTARY TRACT AND METABOLISM DRUGS,1,1,1,1,1,1,1,0
ALKYLATING AGENTS,1,1,1,1,1,1,1,0
ALL OTHER NON-THERAPEUTIC PRODUCTS,2,2,2,2,2,2,2,0
ALL OTHER THERAPEUTIC PRODUCTS,2,2,2,2,2,2,2,0
ALLERGENS,2,2,2,2,2,2,2,0
AMINOGLYCOSIDE ANTIBACTERIALS,1,1,1,1,1,1,1,0
AMPHENICOLS,1,1,1,1,1,1,1,0
ANABOLIC AGENTS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANABOLIC STEROIDS,1,1,1,1,1,1,1,0
ANALGESICS,1,1,1,1,1,1,1,0
ANDROGENS,1,1,1,1,1,1,1,0
ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,1,1,1,1,1,1,1,0
ANESTHETICS,1,1,1,1,1,1,1,0
"ANESTHETICS, GENERAL",1,1,1,1,1,1,1,0
"ANESTHETICS, LOCAL",1,1,1,1,1,1,1,0
"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",1,1,1,1,1,1,1,0
"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",1,1,1,1,1,1,1,0
ANTACIDS,1,1,1,1,1,1,1,0
ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,1,1,1,1,1,1,1,0
ANTHELMINTICS,1,1,1,1,1,1,1,0
ANTI-ACNE PREPARATIONS,1,1,1,1,1,1,1,0
ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANTI-ACNE PREPARATIONS FOR TOPICAL USE,1,1,1,1,1,1,1,0
ANTI-DEMENTIA DRUGS,1,1,1,1,1,1,1,0
ANTI-PARATHYROID AGENTS,1,1,1,1,1,1,1,0
ANTI-PARKINSON DRUGS,1,1,1,1,1,1,1,0
ANTIADRENAL PREPARATIONS,1,1,1,1,1,1,1,0
"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",1,1,1,1,1,1,1,0
"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",1,1,1,1,1,1,1,0
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",1,1,1,1,1,1,1,0
ANTIANDROGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,1,1,1,1,1,1,1,0
ANTIANDROGENS,1,1,1,1,1,1,1,0
ANTIANEMIC PREPARATIONS,1,1,1,1,1,1,1,0
"ANTIARRHYTHMICS, CLASS I AND III",1,1,1,1,1,1,1,0
ANTIBACTERIALS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,1,1,1,1,1,1,1,0
"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",1,1,1,1,1,1,1,0
ANTIBIOTICS FOR TOPICAL USE,1,1,1,1,1,1,1,0
ANTICESTODALS,1,1,1,1,1,1,1,0
ANTICHOLINERGIC AGENTS,1,1,1,1,1,1,1,0
ANTIDEPRESSANTS,1,1,1,1,1,1,1,0
ANTIDIARRHEAL MICROORGANISMS,1,1,1,1,1,1,1,0
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",1,1,1,1,1,1,1,0
ANTIEMETICS AND ANTINAUSEANTS,2,2,2,2,2,2,2,0
ANTIEPILEPTICS,2,2,2,2,2,2,2,0
ANTIFIBRINOLYTICS,1,1,1,1,1,1,1,0
ANTIFUNGALS FOR DERMATOLOGICAL USE,1,1,1,1,1,1,1,0
ANTIFUNGALS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANTIFUNGALS FOR TOPICAL USE,1,1,1,1,1,1,1,0
ANTIGLAUCOMA PREPARATIONS AND MIOTICS,1,1,1,1,1,1,1,0
ANTIGOUT PREPARATIONS,2,2,2,2,2,2,2,0
ANTIHEMORRHAGICS,1,1,1,1,1,1,1,0
ANTIHISTAMINES FOR SYSTEMIC USE,2,2,2,2,2,2,2,0
ANTIHYPERTENSIVES,1,1,1,1,1,1,1,0
ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,1,1,1,1,1,1,1,0
"ANTIINFECTIVE DRUGS, OTOLOGIC",1,1,1,1,1,1,1,0
ANTIINFECTIVE OPHTHALMOLOGICS,1,1,1,1,1,1,1,0
ANTIINFECTIVES,3,3,3,3,3,3,3,0
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",1,1,1,1,1,1,1,0
ANTIINFECTIVES FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC",1,1,1,1,1,1,1,0
ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,1,1,1,1,1,1,1,0
ANTIINFLAMMATORY AGENTS,2,2,2,2,2,2,2,0
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,1,1,1,1,1,1,1,0
"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",1,1,1,1,1,1,1,0
ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,1,1,1,1,1,1,1,0
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",1,1,1,1,1,1,1,0
ANTIINFLAMMATORY THERAPEUTIC RADIOPHARMACEUTICALS,1,1,1,1,1,1,1,0
ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,1,1,1,1,1,1,1,0
ANTIMALARIALS,1,1,1,1,1,1,1,0
ANTIMETABOLITES,1,1,1,1,1,1,1,0
ANTIMIGRAINE PREPARATIONS,1,1,1,1,1,1,1,0
ANTIMYCOBACTERIALS,1,1,1,1,1,1,1,0
ANTIMYCOTICS FOR SYSTEMIC USE,2,2,2,2,2,2,2,0
ANTINEMATODAL AGENTS,1,1,1,1,1,1,1,0
ANTINEOPLASTIC AGENTS,1,1,1,1,1,1,1,0
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1,1,1,1,1,1,1,0
"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",2,2,2,2,2,2,2,0
"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1,1,1,1,1,1,1,0
ANTIPROPULSIVES,1,1,1,1,1,1,1,0
ANTIPROTOZOALS,1,1,1,1,1,1,1,0
"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",2,2,2,2,2,2,2,0
ANTIPSORIATICS,1,1,1,1,1,1,1,0
ANTIPSORIATICS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANTIPSORIATICS FOR TOPICAL USE,1,1,1,1,1,1,1,0
ANTIPSYCHOTICS,1,1,1,1,1,1,1,0
ANTISEPTICS AND DISINFECTANTS,2,2,2,2,2,2,2,0
ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,1,1,1,1,1,1,1,0
ANTISPASMODICS IN COMBINATION WITH ANALGESICS,1,1,1,1,1,1,1,0
ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,1,1,1,1,1,1,1,0
ANTITHROMBOTIC AGENTS,2,2,2,2,2,2,2,0
ANTITHYROID PREPARATIONS,1,1,1,1,1,1,1,0
ANTITREMATODALS,1,1,1,1,1,1,1,0
ANTIVARICOSE THERAPY,1,1,1,1,1,1,1,0
ANTIVARICOSE THERAPY DRUGS,1,1,1,1,1,1,1,0
ANTIVERTIGO PREPARATIONS,1,1,1,1,1,1,1,0
ANTIVIRALS FOR SYSTEMIC USE,1,1,1,1,1,1,1,0
ANXIOLYTICS,1,1,1,1,1,1,1,0
APPETITE STIMULANTS,1,1,1,1,1,1,1,0
"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",1,1,1,1,1,1,1,0
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",1,1,1,1,1,1,1,0
Acetic acid derivatives and related substances,1,1,1,1,1,1,1,0
Acid preparations,1,1,1,1,1,1,1,0
"Acid preparations, digestives",1,1,1,1,1,1,1,0
Acidifiers,1,1,1,1,1,1,1,0
Acridine derivatives,1,1,1,1,1,1,1,0
"Acridine derivatives, antiseptics and disinfectants",1,1,1,1,1,1,1,0
Actinomycines,1,1,1,1,1,1,1,0
Adamantane derivatives,1,1,1,1,1,1,1,0
"Adamantane derivatives, dopaminergic",1,1,1,1,1,1,1,0
Adrenergic and dopaminergic agents,1,1,1,1,1,1,1,0
Adrenergic and dopaminergic agents combinations,1,1,1,1,1,1,1,1
Adrenergic and dopaminergic cardiac stimulants,1,1,1,1,1,1,1,0
Adrenergics and other drugs for obstructive airway diseases,1,1,1,1,1,1,1,0
Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,1,1,1,1,1,1,1,0
"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",1,1,1,1,1,1,1,0
"Adrenergics inhalants in combination with corticosteroids or other drugs, excl. anticholinergics",1,1,1,1,1,1,1,0
Adrenergics systemic drugs and other drugs for obstructive airway diseases,1,1,1,1,1,1,1,0
"Agents for dermatitis, excluding corticosteroids",1,1,1,1,1,1,1,0
Agni casti fructus,1,1,1,1,1,1,1,1
Aldehydes and derivatives,1,1,1,1,1,1,1,0
Aldose reductase inhibitors,1,1,1,1,1,1,1,0
Aldose reductase inhibitors used in diabetes,1,1,1,1,1,1,1,0
Aldosterone antagonists,1,1,1,1,1,1,1,0
"Alkaloids, excl. rauwolfia",1,1,1,1,1,1,1,0
"Alkaloids, excl. rauwolfia, antihypertensives",1,1,1,1,1,1,1,0
"Alkaloids, excl. rauwolfia, in combination with diuretics",1,1,1,1,1,1,1,0
Alkyl sulfonate alkylating agents,1,1,1,1,1,1,1,0
Alkyl sulfonates,1,1,1,1,1,1,1,0
Allergen extracts,1,1,1,1,1,1,1,0
Alpha and beta blocking agents,1,1,1,1,1,1,1,0
Alpha and beta blocking agents and other diuretics,1,1,1,1,1,1,1,0
Alpha and beta blocking agents and thiazides,1,1,1,1,1,1,1,0
Alpha glucosidase inhibitors,1,1,1,1,1,1,1,0
"Alpha glucosidase inhibitors, blood glucose lowering",1,1,1,1,1,1,1,0
Alpha- and beta-adrenoreceptor agonist inhalants,1,1,1,1,1,1,1,0
"Alpha- and beta-adrenoreceptor agonist, systemic drugs",1,1,1,1,1,1,1,0
Alpha- and beta-adrenoreceptor agonists,2,2,2,2,2,2,2,0
Alpha-adrenoreceptor antagonists,2,2,2,2,2,2,2,0
Alpha-adrenoreceptor antagonists and diuretics,1,1,1,1,1,1,1,0
"Alpha-adrenoreceptor antagonists, benign prostatic hypertrophy",1,1,1,1,1,1,1,0
"Alpha-adrenoreceptor antagonists, peripherally acting",1,1,1,1,1,1,1,0
Aluminium agents,1,1,1,1,1,1,1,0
"Aluminium agents, antiseptics and disinfectants",1,1,1,1,1,1,1,0
Aluminium antacid compound combinations,1,1,1,1,1,1,1,1
Aluminium compounds,1,1,1,1,1,1,1,0
Amide local anesthetic combinations,1,1,1,1,1,1,1,1
Amide local anesthetics,1,1,1,1,1,1,1,0
Amides,1,1,1,1,1,1,1,0
"Amino Acids, I.V. solution additive",1,1,1,1,1,1,1,0
