,rxcui,rxaui,sab,tty,ATC code,ATC level name,suppress,mapped_to_bnf
0,44,5481074,ATC,IN,R05CB05,mesna,N,Y
1,44,5481075,ATC,IN,V03AF01,mesna,N,Y
2,63,5481013,ATC,IN,C10AX05,meglutol,N,N
3,74,5478629,ATC,IN,D02BA01,aminobenzoic acid,N,Y
4,94,5481555,ATC,IN,N06AX01,oxitriptan,N,Y
5,99,5478631,ATC,IN,B02AA01,aminocaproic acid,N,Y
6,103,5481064,ATC,IN,L01BB02,mercaptopurine,N,Y
7,110,5481585,ATC,IN,A01AB07,oxyquinoline,N,N
8,110,5481586,ATC,IN,D08AH03,oxyquinoline,N,N
9,110,5481587,ATC,IN,G01AC30,oxyquinoline,N,N
10,110,5481588,ATC,IN,R02AA14,oxyquinoline,N,N
11,149,5478462,ATC,IN,C07AB04,acebutolol,N,Y
12,150,5478464,ATC,IN,S01EB08,aceclidine,N,N
13,154,5478470,ATC,IN,B01AA07,acenocoumarol,N,Y
14,155,5478471,ATC,IN,N05AA04,acepromazine,N,N
15,161,5481616,ATC,IN,N02BE01,paracetamol,N,Y
16,167,5478475,ATC,IN,S01EC01,acetazolamide,N,Y
17,168,5478476,ATC,IN,G01AD02,acetic acid,N,Y
18,168,5478477,ATC,IN,S02AA10,acetic acid,N,Y
19,173,5478478,ATC,IN,A10BB31,acetohexamide,N,Y
20,184,5478482,ATC,IN,V08AA07,acetrizoic acid,N,N
21,193,5478483,ATC,IN,N06BX12,acetylcarnitine,N,N
22,194,5478484,ATC,IN,S01EB09,acetylcholine,N,Y
23,197,5478485,ATC,IN,R05CB01,acetylcysteine,N,Y
24,197,5478486,ATC,IN,S01XA08,acetylcysteine,N,Y
25,197,5478487,ATC,IN,V03AB23,acetylcysteine,N,Y
26,199,5478489,ATC,IN,C01AA02,acetyldigoxin,N,N
27,239,5478507,ATC,IN,L01DB04,aclarubicin,N,N
28,249,5480066,ATC,IN,D08AA03,euflavine,N,N
29,268,5477314,ATC,PT,L01DA,Actinomycines,N,N
30,270,5482327,ATC,IN,J01XX04,spectinomycin,N,Y
31,272,5480989,ATC,IN,A07BA01,medicinal charcoal,N,N
32,281,5478501,ATC,IN,D06BB03,aciclovir,N,Y
33,281,5478502,ATC,IN,J05AB01,aciclovir,N,Y
34,281,5478503,ATC,IN,S01AD03,aciclovir,N,Y
35,296,5478516,ATC,IN,C01EB10,adenosine,N,Y
36,336,5477776,ATC,PT,L03,IMMUNOSTIMULANTS,N,N
