bnf_chemical_substance,bnf_chapter,bnf_name,bnf_code,drug,form,dose,misc1,combination
5-Hydroxytryptophan,7,7,7,7,7,7,0,7
5-Methoxypsoralen,3,3,3,3,3,3,0,3
Abacavir,4,4,4,4,4,4,0,4
Abacavir & Lamivudine,2,2,2,2,2,1,0,2
Abacavir/Lamivudine/Zidovudine,2,2,2,2,2,0,0,2
Abatacept,10,10,10,10,10,10,0,10
Abciximab,2,2,2,2,2,2,0,2
Abemaciclib,6,6,6,6,6,6,0,6
Abiraterone,4,4,4,4,4,4,0,4
Absorbable Gelatin Sponge,6,6,6,6,6,0,0,6
Acamprosate Calcium,3,3,3,3,3,3,0,3
Acarbose,7,7,7,7,7,7,0,7
Acebutolol Hydrochloride,8,8,8,8,8,8,0,8
Acebutolol Hydrochloride With Diuretic,2,2,2,2,2,1,0,2
Aceclofenac,3,3,3,3,3,3,0,3
Acefylline Piperazine,10,10,10,10,10,10,0,10
Acemetacin,2,2,2,2,2,2,0,2
Acenocoumarol,4,4,4,4,4,4,0,4
Acetarsol,11,11,11,11,11,11,0,11
Acetazolamide,54,54,54,54,54,51,0,54
Acetazolamide Sodium,2,2,2,2,2,2,0,2
Acetic Acid,14,14,14,14,14,14,0,14
Acetohexamide,2,2,2,2,2,2,0,2
Acetohydroxamic Acid,4,4,4,4,4,4,0,4
Acetomenaphthone,1,1,1,1,1,1,0,1
Acetyl-L-Carnitine,4,4,4,4,4,4,0,4
Acetylcholine Chloride,8,8,8,8,8,8,0,8
Acetylcysteine,80,80,80,80,80,72,0,80
Aciclovir,46,46,46,46,46,46,0,46
Aciclovir Sodium,4,4,4,4,4,4,0,4
Acid Insulin Injection,3,3,3,3,2,2,0,3
Acipimox,2,2,2,2,2,2,0,2
Acitretin,8,8,8,8,8,8,0,8
Aclidinium Brom/Formoterol,2,2,2,2,1,1,0,2
Aclidinium Bromide,2,2,2,2,2,2,0,2
Aconite,1,1,1,1,1,0,0,1
Acriflavine,2,2,2,2,1,1,0,2
Acrivastine,6,6,6,6,6,5,0,6
Activated Attapulgite,2,2,2,2,2,2,0,2
Adalimumab,26,26,26,26,26,26,0,26
Adapalene,4,4,4,4,4,4,0,4
Adapalene & Benzoyl Peroxide,2,2,2,2,2,2,0,2
Adefovir Dipivoxil,2,2,2,2,2,2,0,2
